Date : 2021-12-24 22:38:10
Directory : d:\code\Rust crate\rand-master
Total : 101 files,  14641 codes, 5113 comments, 2523 blanks, all 22277 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\code\Rust crate\rand-master\src\distributions\utils.rs                 | Rust     |        322 |         47 |         61 |        430 |
| d:\code\Rust crate\rand-master\src\distributions\weighted.rs              | Rust     |         29 |         13 |          6 |         48 |
| d:\code\Rust crate\rand-master\src\distributions\weighted_index.rs        | Rust     |        310 |         97 |         47 |        454 |
| d:\code\Rust crate\rand-master\src\lib.rs                                 | Rust     |         88 |        115 |         13 |        216 |
| d:\code\Rust crate\rand-master\src\prelude.rs                             | Rust     |         14 |         18 |          3 |         35 |
| d:\code\Rust crate\rand-master\src\rng.rs                                 | Rust     |        294 |        264 |         43 |        601 |
| d:\code\Rust crate\rand-master\src\rngs\adapter\mod.rs                    | Rust     |          5 |          8 |          4 |         17 |
| d:\code\Rust crate\rand-master\src\rngs\adapter\read.rs                   | Rust     |         93 |         30 |         28 |        151 |
| d:\code\Rust crate\rand-master\src\rngs\adapter\reseeding.rs              | Rust     |        222 |        122 |         43 |        387 |
| d:\code\Rust crate\rand-master\src\rngs\mock.rs                           | Rust     |         51 |         24 |         13 |         88 |
| d:\code\Rust crate\rand-master\src\rngs\mod.rs                            | Rust     |         15 |         97 |          8 |        120 |
| d:\code\Rust crate\rand-master\src\rngs\small.rs                          | Rust     |         37 |         69 |         12 |        118 |
| d:\code\Rust crate\rand-master\src\rngs\std.rs                            | Rust     |         53 |         25 |         21 |         99 |
| d:\code\Rust crate\rand-master\src\rngs\thread.rs                         | Rust     |         64 |         62 |         18 |        144 |
| d:\code\Rust crate\rand-master\src\rngs\xoshiro128plusplus.rs             | Rust     |         80 |         22 |         17 |        119 |
| d:\code\Rust crate\rand-master\src\rngs\xoshiro256plusplus.rs             | Rust     |         82 |         24 |         17 |        123 |
| d:\code\Rust crate\rand-master\src\seq\index.rs                           | Rust     |        477 |        125 |         77 |        679 |
| d:\code\Rust crate\rand-master\src\seq\mod.rs                             | Rust     |        906 |        330 |        121 |      1,357 |
| d:\code\Rust crate\rand-master\utils\redirect.html                        | HTML     |          1 |          0 |          1 |          2 |
| d:\code\Rust crate\rand-master\utils\ziggurat_tables.py                   | Python   |         58 |         43 |         25 |        126 |
| Total                                                                     |          |     14,641 |      5,113 |      2,523 |     22,277 |
+---------------------------------------------------------------------------+----------+------------+------------+------------+------------+
